id,rubrika,datum,mesec,avtorji,st_besed,cos_podobnost_1,L_podobnost_1,zamik_objav_1[min],id_podobnih_1,cos_podobnost_2,L_podobnost_2,zamik_objav_2[min],id_podobnih_2,cos_podobnost_3,L_podobnost_3,zamik_objav_3[min],id_podobnih_3
80-S,posel-danes,2023-06-23,202306,,711,0.619706,42,3155.0,10612-R,0.615061,34,3193.0,21006-R,0.606492,56,5645.0,10641-R
81-S,sportal,2023-06-23,202306,['Špela Lenart'],1082,0.690976,34,3174.0,21006-R,0.68417,48,39.0,10574-R,0.681587,35,264.0,10579-R
82-S,slovenija,2023-06-23,202306,"['K. M.', 'A. P. K.']",456,0.551442,60,161.0,101-R,0.490953,66,3085.0,144-R,0.426981,66,296.0,103-R
83-S,slovenija,2023-06-23,202306,"['St. M.', 'STA']",340,0.450105,51,3110.0,10612-R,0.436266,60,5600.0,10641-R,0.425857,65,149.0,101-R
84-S,sportal,2023-06-23,202306,['A. T. K.'],145,0.472452,56,2415.0,10600-R,0.469205,46,1525.0,10592-R,0.459568,43,175.0,10578-R
85-S,sportal,2023-06-23,202306,['STA'],186,0.425881,38,35.0,16896-R,0.425599,46,3105.0,10612-R,0.405054,40,3143.0,21006-R
86-S,slovenija,2023-06-23,202306,"['St. M.', 'STA']",682,0.506775,68,2740.0,138-R,0.498655,59,3091.0,10612-R,0.490844,50,60.0,16897-R
87-S,sportal,2023-06-23,202306,"['Pe. M.', 'STA']",120,0.396731,25,3123.0,21006-R,0.388866,50,130.0,5101-R,0.380551,69,30.0,5099-R
88-S,digisvet,2023-06-23,202306,,598,0.175144,46,2758.0,5132-R,0.169495,54,3081.0,10612-R,0.16899,48,1499.0,10592-R
89-S,sportal,2023-06-23,202306,['STA'],265,0.584095,35,3112.0,21006-R,0.5742,45,2262.0,10598-R,0.570654,37,5655.0,10642-R
90-S,slovenija,2023-06-23,202306,"['St. M.', 'STA']",25,0.280724,42,201.0,10579-R,0.266044,38,2585.0,10602-R,0.265806,43,5447.0,10639-R
91-S,trendi,2023-06-23,202306,,552,0.460362,78,5675.0,171-R,0.457538,27,3070.0,10612-R,0.438845,28,39.0,16897-R
92-S,sportal,2023-06-23,202306,['R. P.'],511,0.519038,52,3099.0,21006-R,0.508815,58,5551.0,10641-R,0.506487,47,5377.0,10636-R
93-S,svet,2023-06-23,202306,"['St. M.', 'STA']",363,0.460653,50,3037.0,10612-R,0.450212,55,2632.0,5130-R,0.447057,66,211.0,103-R
94-S,svet,2023-06-23,202306,['K. M.'],213,0.453065,37,3062.0,21006-R,0.438282,62,1497.0,5116-R,0.433282,52,4127.0,152-R
95-S,sportal,2023-06-23,202306,['R. P.'],530,0.494761,38,3059.0,21006-R,0.49296,54,5511.0,10641-R,0.475766,42,5337.0,10636-R
